motion,family,global_frame,motion_frame,pc1,pc2,sample_count
run1_subject2,run,6578,0,0.11472692620080341,-0.2102149474950683,25
run1_subject2,run,6581,3,0.054423137060865164,-0.06809954182146835,31
run1_subject2,run,6583,5,0.09282945460086546,-0.0009077599934113022,32
run1_subject2,run,6586,8,0.10664926875299516,0.0066739850405632475,37
run1_subject2,run,6588,10,0.04854515132840776,-0.012169974146894705,23
run1_subject2,run,6591,13,-0.07190936635498318,-0.010740956464716352,29
run1_subject2,run,6593,15,-0.08883699196432267,0.006038643777895175,30
run1_subject2,run,6596,18,-0.06683044502568121,0.03938904539169552,40
run1_subject2,run,6598,20,-0.08122376302034667,0.026930197067587498,34
run1_subject2,run,6601,23,-0.036518855194859326,0.04527014419815275,28
run1_subject2,run,6603,25,-0.0020538745517340515,0.03340595894549138,36
run1_subject2,run,6606,28,0.018537498225764566,0.060121344510500364,32
run1_subject2,run,6608,30,0.020117936295674346,0.06481723447052903,34
run1_subject2,run,6611,33,0.044526511419378086,0.05485030632635815,26
run1_subject2,run,6613,35,0.04997530940296872,0.058682277705311495,27
run1_subject2,run,6616,38,0.05040728576831777,0.04423293216189127,40
run1_subject2,run,6618,40,0.041544438989326346,0.05910573683920571,31
run1_subject2,run,6621,43,0.04410340303532262,0.05110895876638725,29
run1_subject2,run,6623,45,0.04169297955035355,0.04995148314002913,27
run1_subject2,run,6626,48,0.05898117792891215,0.07156210708293917,33
run1_subject2,run,6628,50,0.05813870489813707,0.06893336650626741,45
run1_subject2,run,6631,53,0.06120750003986521,0.0423680453196102,39
run1_subject2,run,6633,55,0.04098537400142616,0.05456849956533709,35
run1_subject2,run,6636,58,0.06945259766861313,0.07882866938988906,40
run1_subject2,run,6638,60,0.0848857815158551,0.07118845291651212,49
run1_subject2,run,6641,63,0.07785366699779614,0.06275005167769615,37
run1_subject2,run,6643,65,0.06748746800430366,0.06873025164314171,39
run1_subject2,run,6646,68,0.054474147098202336,0.059554051738918534,39
run1_subject2,run,6648,70,0.05175680736598524,0.06940931754527296,49
run1_subject2,run,6651,73,0.07033941948535868,0.070581776224759,34
run1_subject2,run,6653,75,0.06186817866152986,0.07262901520950585,49
run1_subject2,run,6656,78,0.0788319456667465,0.08738626416951564,48
run1_subject2,run,6658,80,0.08866809884009258,0.07948393990930136,42
run1_subject2,run,6661,83,0.09070397089971126,0.08746029225407759,41
run1_subject2,run,6663,85,0.07914190635010905,0.0868426681198749,37
run1_subject2,run,6666,88,0.0719318869558814,0.08011266388150715,36
run1_subject2,run,6668,90,0.08896440752995825,0.07607416974179783,42
run1_subject2,run,6671,93,0.07956361094338554,0.0853865636841937,44
run1_subject2,run,6673,95,0.07972303786302712,0.07695327649330914,44
run1_subject2,run,6676,98,0.07033616250997876,0.08037040163466586,42
run1_subject2,run,6678,100,0.084358371886221,0.06973037951496368,33
run1_subject2,run,6681,103,0.07384493742462114,0.07535209557754936,46
run1_subject2,run,6683,105,0.07652788629788607,0.07269227654576815,39
run1_subject2,run,6686,108,0.06325751977876633,0.06917445436612865,27
run1_subject2,run,6688,110,0.08602130548487391,0.08493101825214622,36
run1_subject2,run,6691,113,0.07669970340570353,0.07382202701563578,37
run1_subject2,run,6693,115,0.0731538231258308,0.07853653620323647,28
run1_subject2,run,6696,118,0.06909013148215733,0.05934890902227015,39
run1_subject2,run,6698,120,0.0704541379726602,0.07222836304565589,27
run1_subject2,run,6701,123,0.07543901600340293,0.052971231732923736,33
run1_subject2,run,6703,125,0.053147531325545366,0.06639826152800524,34
run1_subject2,run,6706,128,0.05560451248329994,0.08063810811673541,43
run1_subject2,run,6708,130,-0.01209982405585048,0.07875979251305211,37
run1_subject2,run,6711,133,-0.0686267457504461,0.08151537944515055,40
run1_subject2,run,6713,135,-0.0995588357292313,0.06081542951187707,28
run1_subject2,run,6716,138,-0.22964481828552608,0.01960372056405369,38
run1_subject2,run,6718,140,-0.31423562300607055,0.0402632558920037,43
run1_subject2,run,6721,143,-0.39006713232416035,0.06457980977958788,37
run1_subject2,run,6723,145,-0.376888240100375,0.12125158772713454,34
run1_subject2,run,6726,148,-0.41310227687298784,0.06185158479913001,32
run1_subject2,run,6728,150,-0.38981653522455406,0.03673659453432518,16
run1_subject2,run,6731,153,-0.36811549710424807,-0.02866773569765501,15
run1_subject2,run,6733,155,-0.36147130618160345,-0.058050337436856544,27
run1_subject2,run,6736,158,-0.2946084842391084,0.07290406347914773,17
run1_subject2,run,6738,160,-0.2698260877441467,0.1525744511910698,14
run1_subject2,run,6741,163,-0.16137455588522584,0.26956343991769854,22
run1_subject2,run,6743,165,-0.050569588211347896,0.10165579461585923,16
run1_subject2,run,6746,168,-0.008793835301543373,-0.08660515669425328,13
run1_subject2,run,6748,170,-0.04555102253067385,-0.008799936943329808,31
run1_subject2,run,6751,173,-0.07817678801721711,0.1823296331993004,13
run1_subject2,run,6753,175,-0.08662214820500345,0.27939339274837394,17
run1_subject2,run,6756,178,-0.07433785809731741,0.39795402553140324,22
run1_subject2,run,6758,180,-0.042271135663014325,0.4772462078320834,12
run1_subject2,run,6761,183,-0.10959795695286445,0.10990869305022105,18
run1_subject2,run,6763,185,-0.1792974501645491,-0.04010592593556422,21
run1_subject2,run,6766,188,-0.059677198965015395,-0.0724302165009682,20
run1_subject2,run,6768,190,-0.04126534424088606,-0.052305509932878996,11
run1_subject2,run,6771,193,-0.051980126134280664,-0.035289360190329036,18
run1_subject2,run,6773,195,-0.09206094250757678,-0.07786198088429667,21
run1_subject2,run,6776,198,-0.09480125914207532,-0.10043686094942095,16
run1_subject2,run,6778,200,-0.13756265788409988,-0.07979255562441628,27
run1_subject2,run,6781,203,-0.20001091487387573,-0.03485122852328409,25
run1_subject2,run,6783,205,-0.21944295250074314,-0.024079445567530795,26
run1_subject2,run,6786,208,-0.28949049806631233,-0.03507212700048126,18
run1_subject2,run,6788,210,-0.22505482406399774,-0.059144321936426346,19
run1_subject2,run,6791,213,-0.07066286631021956,0.033059298898234085,20
run1_subject2,run,6793,215,0.016403081991101076,0.07171128548680122,17
run1_subject2,run,6796,218,-0.06066622476185601,0.06901041457736887,17
run1_subject2,run,6798,220,-0.04974733485573621,0.06445662048284964,25
run1_subject2,run,6801,223,0.17439504269351044,0.26131344071551166,24
run1_subject2,run,6803,225,0.3434761645876161,0.3432872513360611,30
run1_subject2,run,6806,228,0.02034269511239164,0.15904408662669745,18
run1_subject2,run,6808,230,-0.26245418133209464,0.07147147006597376,26
run1_subject2,run,6811,233,0.0901419718745939,0.12669423418561862,23
run1_subject2,run,6813,235,0.045570652182282005,0.05901207474717712,18
run1_subject2,run,6816,238,-0.15765342220106815,0.020737810177106717,22
run1_subject2,run,6818,240,-0.34429658823114695,-0.011286769862602844,17
run1_subject2,run,6821,243,-0.3964450449134542,-0.03792973139559671,23
run1_subject2,run,6823,245,-0.3769853194878428,0.02491652515132597,25
run1_subject2,run,6826,248,-0.3181207388364968,0.17341283775458718,19
run1_subject2,run,6828,250,-0.294930029672426,0.31272044337696064,25
run1_subject2,run,6831,253,-0.34470457117235254,0.2758576702903427,23
run1_subject2,run,6833,255,-0.22014236558965944,0.07679957296246072,23
run1_subject2,run,6836,258,-0.022466482517258343,-0.21693690209443495,16
run1_subject2,run,6838,260,-0.10046661267315049,-0.08064719250824368,21
