name	rows	columns	finite	quat_norm_max_abs_error_from_1
dance1_subject1.csv	3945	36	True	7.017247538598781e-07
dance1_subject2.csv	3945	36	True	6.882267631347361e-07
dance1_subject3.csv	3945	36	True	6.567972843374292e-07
dance2_subject1.csv	6771	36	True	7.329307686321229e-07
dance2_subject2.csv	6771	36	True	7.036807523341793e-07
dance2_subject3.csv	6771	36	True	7.568952133940599e-07
dance2_subject4.csv	6771	36	True	6.866267643346191e-07
dance2_subject5.csv	6771	36	True	6.813942676764384e-07
fallAndGetUp1_subject1.csv	5047	36	True	8.531831361402453e-07
fallAndGetUp1_subject4.csv	5047	36	True	7.647367924468185e-07
fallAndGetUp1_subject5.csv	5047	36	True	7.611547103714145e-07
fallAndGetUp2_subject2.csv	4918	36	True	8.877706059173818e-07
fallAndGetUp2_subject3.csv	4918	36	True	8.478153593616256e-07
fallAndGetUp3_subject1.csv	3066	36	True	8.084496732063684e-07
fight1_subject2.csv	7347	36	True	7.448567225232239e-07
fight1_subject3.csv	7347	36	True	7.435822765300415e-07
fight1_subject5.csv	7347	36	True	7.014937539739918e-07
fightAndSports1_subject1.csv	7355	36	True	6.857622649736328e-07
fightAndSports1_subject4.csv	7355	36	True	7.08739751220655e-07
jumps1_subject1.csv	7334	36	True	7.359577708365705e-07
jumps1_subject2.csv	7334	36	True	8.228873386029179e-07
jumps1_subject5.csv	7334	36	True	7.293407340291935e-07
run1_subject2.csv	7135	36	True	7.316977675975167e-07
run1_subject5.csv	7135	36	True	7.399087738058086e-07
run2_subject1.csv	7345	36	True	6.972457430309831e-07
run2_subject4.csv	7345	36	True	7.982943186490843e-07
sprint1_subject2.csv	8194	36	True	7.569327133971626e-07
sprint1_subject4.csv	8194	36	True	7.305272667901264e-07
walk1_subject1.csv	7840	36	True	7.011052458594236e-07
walk1_subject2.csv	7840	36	True	7.198632410165828e-07
walk1_subject5.csv	7840	36	True	7.064432503423035e-07
walk2_subject1.csv	7146	36	True	7.19748759037131e-07
walk2_subject3.csv	7146	36	True	7.240552621912144e-07
walk2_subject4.csv	7146	36	True	6.902912382811266e-07
walk3_subject1.csv	7399	36	True	7.354062704356679e-07
walk3_subject2.csv	7399	36	True	7.268877642019334e-07
walk3_subject3.csv	7399	36	True	7.905011876196966e-07
walk3_subject4.csv	7399	36	True	7.677032947128737e-07
walk3_subject5.csv	7399	36	True	7.021147534480576e-07
walk4_subject1.csv	4918	36	True	7.125122463147449e-07
