frame,video_time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean,contact_count_after_forward
0,0.0,0.0,0.0,0.7965530157089233,0.30355899984916224,0.6186674373417065,0
1,0.03333333333333333,-3.066278860815088e-05,7.645790916317887e-05,0.7965502069893818,0.30667988915252015,0.5939926902937566,0
2,0.06666666666666667,-6.270064336594137e-05,0.00014964187512447007,0.7965481398100311,0.3096696552289076,0.5449744954202563,0
3,0.1,-9.61509810393481e-05,0.00021946281099402632,0.7965468343488358,0.3125247300993592,0.47095044597765345,0
4,0.13333333333333333,-0.00013510154519761128,0.00027618797405603196,0.7965483779631107,0.31485530543803025,0.39444373078128153,0
5,0.16666666666666666,-0.000178840526930349,0.00032993229256449207,0.7965493338941732,0.31716773601299075,0.33617308187095984,0
6,0.2,-0.00022768863878173457,0.0003806387511432536,0.7965496108101843,0.3193585769640333,0.29834825168371265,0
7,0.23333333333333334,-0.0002813162500550037,0.0004285033360561293,0.7965492332698507,0.3213747802261507,0.26410785537445114,0
8,0.26666666666666666,-0.0003391621256759753,0.0004727603576741366,0.7965482656568089,0.3232149857395848,0.2339633655496255,0
9,0.3,-0.0004016823909225467,0.0005129804187309088,0.7965466437201723,0.32485938085729904,0.20822246819986337,0
10,0.3333333333333333,-0.00046458484170730757,0.0005514169287378329,0.7965454394142983,0.32641337683438515,0.19474675029083638,0
11,0.36666666666666664,-0.0005278641305903267,0.0005880948674672165,0.7965446110557607,0.32787824845175095,0.18107074451938282,0
12,0.4,-0.0005915790548929758,0.0006227398497096048,0.796544215461459,0.3292400903182136,0.169194861308539,0
13,0.43333333333333335,-0.0006520280483301173,0.0006556262805091346,0.7965443065277983,0.3304310565329867,0.16362663173844794,0
14,0.4666666666666667,-0.0007115331688301559,0.0006880044689783639,0.7965445643278432,0.33157264229538763,0.15790507333291226,0
15,0.5,-0.0007700712549295857,0.0007198619407877524,0.796544999481575,0.3326636367719158,0.1578110462501925,0
16,0.5333333333333333,-0.000821179494415752,0.0007506049274962668,0.7965461358195689,0.33321507285182345,0.16655899364011723,0
17,0.5666666666666667,-0.0008705086678884641,0.0007809848824872704,0.7965470865733905,0.33372420637782735,0.17088380296442165,0
18,0.6,-0.00091816211585474,0.0008109839882531549,0.7965477195242731,0.3342286469595431,0.16503431962381154,0
