frame,motion_time_step,video_time_s,root_x,root_y,root_z,joint_abs_mean,contact_count_after_forward
0,2314,0.0,0.0,0.0,0.7955343723297119,0.2664423641913815,0
1,2315,0.03333333333333333,-0.000517000094987452,-0.0009499997831881046,0.7955560088157654,0.2578720372009135,0
2,2316,0.06666666666666667,-0.0009976000292226672,-0.0020539998076856136,0.7955620288848877,0.2509976886268023,0
3,2317,0.1,-0.0014294000575318933,-0.003307600039988756,0.7955504059791565,0.2446570714658672,0
4,2318,0.13333333333333333,-0.0018368001328781247,-0.0046360003761947155,0.7955300211906433,0.2385833095422954,0
5,2319,0.16666666666666666,-0.0021398001117631793,-0.006204999517649412,0.7954514026641846,0.23406988226232553,0
6,2320,0.2,-0.002407600055448711,-0.007837799843400717,0.795348584651947,0.2301911048777803,0
7,2321,0.23333333333333334,-0.0026049999287351966,-0.009598199743777514,0.7951974272727966,0.22795484773814678,0
8,2322,0.26666666666666666,-0.002770800027064979,-0.011429799254983664,0.7949985861778259,0.2300300538572001,0
9,2323,0.3,-0.00292080023791641,-0.01329700043424964,0.7947760224342346,0.2332798636373903,1
10,2324,0.3333333333333333,-0.0031295999651774764,-0.015183999668806791,0.7944598197937012,0.2364831219170371,1
11,2325,0.36666666666666664,-0.0033921998692676425,-0.01705959951505065,0.7941030263900757,0.23990821041937532,3
12,2326,0.4,-0.003762400127016008,-0.01891240058466792,0.7936649918556213,0.24393503672186415,4
13,2327,0.43333333333333335,-0.004276600084267557,-0.020700800698250532,0.7931522130966187,0.24814577028155327,6
14,2328,0.4666666666666667,-0.004862800124101341,-0.02245699940249324,0.792602002620697,0.2524054806595688,1
15,2329,0.5,-0.005729799973778427,-0.02408779924735427,0.7919504046440125,0.2562723409882265,0
16,2330,0.5333333333333333,-0.006696799653582275,-0.02567359944805503,0.7912523746490479,0.2604028808017229,0
17,2331,0.5666666666666667,-0.007863799924962223,-0.027169398497790098,0.7904615998268127,0.2647235684161042,0
18,2332,0.6,-0.00923159986268729,-0.028594400268048048,0.7896196246147156,0.2685150859540264,0
