frame,time_s,source_frame,source_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_x,root_target_y,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,4920,164.0,-0.004191685062296678,0.0031572850064682514,0.6938704070743772,0.21168244235564368,0.030585287316066932,1.4582656602718433,0.3220315172413793,0.04830432140547518,0.25269306139466824,0.23270692811912605,0.3220315172413793,0.0,0.0,0.752812,0.05843728187019449,0.10929803383411756,4,False
1,0.03333333333333333,4921,164.03333333333333,-0.005623430483816518,0.003632984644980549,0.6919206212796097,0.21887224181504136,0.031799013063152616,1.457502643791611,0.30312093103448273,0.08677732117162515,0.364419636649406,0.30168975267821263,0.30312093103448273,0.0,0.0,0.779861,0.08780104546642012,0.14780176268345863,4,False
2,0.06666666666666667,4922,164.06666666666666,-0.007471902610410396,0.003486752234807367,0.691428210775106,0.21963967993854855,0.027042960047109668,1.4600427246684102,0.2980260689655172,0.11700997526829611,0.4999945165380728,0.43166277515896573,0.2980260689655172,0.0,0.0,0.799348,0.1082049270981265,0.19612497570010642,4,False
3,0.1,4923,164.1,-0.00943001905233536,0.002502408065724733,0.6919241427373624,0.2147089248992899,0.01613369573275751,1.466081741052813,0.31143806896551723,0.1362312453946464,0.5892016538606596,0.545932712177201,0.31143806896551723,0.0,0.0,0.812417,0.12105063521906813,0.23131521188893261,4,False
4,0.13333333333333333,4924,164.13333333333333,-0.011213130578888286,0.0008991394852742658,0.6931029579911067,0.2067198651524711,0.0013639080420388499,1.4739101483400983,0.32006834482758617,0.14785500598023915,0.5471379634757364,0.6360542876240559,0.32006834482758617,0.0,0.0,0.819053,0.12675797773347547,0.2528240644546083,4,False
5,0.16666666666666666,4925,164.16666666666666,-0.012612713541151156,-0.0007387728063364719,0.695261393117317,0.19855735643692196,-0.012211907317843721,1.4810059996307148,0.3234023448275862,0.15911479656899283,0.5488061701738001,0.7009298335575557,0.3234023448275862,0.0,0.0,0.820598,0.12655532499663802,0.255520750028234,3,False
6,0.2,4926,164.2,-0.013684651937359973,-0.0019779755952861974,0.6988343518968059,0.19038811728099195,-0.021856718975855526,1.486636341435006,0.32226272413793094,0.16450114821366105,0.5434771142056369,0.7742165957102783,0.32226272413793094,0.0,0.0,0.817038,0.1199739847420972,0.24426564422047004,3,False
7,0.23333333333333334,4927,164.23333333333332,-0.014537195975739488,-0.002629248677667513,0.7039719518581915,0.18134261612201977,-0.026204371994126632,1.4924735252964982,0.3162064482758621,0.16803098960305243,0.5517989808354327,0.8496232859162757,0.3162064482758621,0.0,0.0,0.808137,0.1065544563603991,0.23522358365223225,3,False
8,0.26666666666666666,4928,164.26666666666668,-0.015340698497023032,-0.002810010498123256,0.7099727322068712,0.16823398574145573,-0.029203770271539593,1.5000973722178124,0.30474734482758625,0.15564546184693565,0.6313087069418225,0.891273166969238,0.30474734482758625,0.0,0.0,0.793235,0.08615837066492059,0.23102845261875776,4,False
9,0.3,4929,164.3,-0.01580191803369401,-0.0026519551498958216,0.7152456675706341,0.1535008912415063,-0.03481619571242185,1.509473207001303,0.30580217241379315,0.1363878858671895,0.7492832401527315,0.8270684967609959,0.30580217241379315,0.0,0.0,0.775068,0.06304750672323328,0.22023883834999997,4,False
10,0.3333333333333333,4930,164.33333333333334,-0.015829410246077032,-0.001447650933045816,0.7191261656479953,0.14311693235521555,-0.04006955185431539,1.5189262454419015,0.28982020689655175,0.13051458421891265,0.8937524957943782,0.6891005368309766,0.28982020689655175,0.0,0.0,0.75876,0.043639147010905543,0.19792505418472145,7,False
11,0.36666666666666664,4931,164.36666666666667,-0.015688822105282045,0.0012332785989426437,0.7244840317907143,0.12644367242740295,-0.05014239569551667,1.5266403708821399,0.2760027931034483,0.13744434216453952,1.0548053636290986,0.8028771379795279,0.2760027931034483,0.0,0.0,0.745067,0.027137059824191803,0.16742195818432826,6,False
12,0.4,4932,164.4,-0.01487632376461945,0.004293015671150118,0.7308950908343291,0.1075590860553847,-0.05690003722544971,1.5306852528071135,0.27142103448275867,0.1465221676559568,1.0463147596125366,0.901070999957511,0.27142103448275867,0.0,0.0,0.738853,0.018255655619972222,0.13106817907826881,3,False
13,0.43333333333333335,4933,164.43333333333334,-0.013530381470402138,0.00702696345533103,0.7364054020033795,0.0891264657193808,-0.059599490615811324,1.5330048179242017,0.2721806206896551,0.15135956913528117,0.8665692757899399,0.8476683078970086,0.2721806206896551,0.0,0.0,0.7318,0.015659191327131138,0.102891884495925,4,False
14,0.4666666666666667,4934,164.46666666666667,-0.012070468843635171,0.008836921146215412,0.7402397137451764,0.0718476708092168,-0.06193531271349624,1.533165969645161,0.26950124137931036,0.1574079705910597,0.6384197739965187,0.6981908346977094,0.26950124137931036,0.0,0.0,0.721726,0.02324391609489807,0.09679970113044276,6,False
15,0.5,4935,164.5,-0.010349818849897835,0.009649160135200568,0.7416670861212766,0.05636961783645816,-0.06726720854722794,1.5339437305444088,0.27315972413793105,0.16164628967123035,0.48068419799624373,0.5604984886406434,0.27315972413793105,0.0,0.0,0.705518,0.03877311209173009,0.09762920916985764,6,False
16,0.5333333333333333,4936,164.53333333333333,-0.008347647526169566,0.00959429280073834,0.7403902677943992,0.04489971874165702,-0.07531270036969141,1.5330285237812526,0.28787627586206893,0.15887593769221406,0.4684592461178888,0.5690040617374258,0.28787627586206893,0.0,0.0,0.700178,0.04279909607686322,0.09986977043214101,4,False
17,0.5666666666666667,4937,164.56666666666666,-0.006262220740332936,0.009008120181339148,0.7365397675186154,0.03493661108564108,-0.08471975244091735,1.5305720650051928,0.3022880344827587,0.1541424837407068,0.5693175497346523,0.6852671247207868,0.3022880344827587,0.0,0.0,0.700863,0.03856426807883572,0.10900893845946635,3,False
18,0.6,4938,164.6,-0.004169095806629297,0.008240585430066342,0.730460077128978,0.025715102296555707,-0.09710436970499373,1.5268813436020436,0.3115366206896552,0.15266003951739493,0.6825815379589834,0.7752706475731547,0.3115366206896552,0.0,0.0,0.708153,0.025856922053544562,0.11083149525668286,3,False
19,0.6333333333333333,4939,164.63333333333333,-0.002186179156658565,0.007466062202977964,0.7229753186393293,0.01504413858261946,-0.1108492043774692,1.521995528212053,0.31786275862068963,0.1548191071092075,0.7083624238083284,0.8364489015437161,0.31786275862068963,0.0,0.0,0.723384,0.00825016020672092,0.11290999412007058,4,False
20,0.6666666666666666,4940,164.66666666666666,-0.00028097230034911536,0.006905405109678247,0.7149777676863646,0.002912614105129552,-0.12345849366408877,1.514990373427097,0.31474527586206896,0.16032788721041866,0.6441411343108607,0.9560394951684356,0.31474527586206896,0.0,0.0,0.744767,0.02863892951704641,0.10844726418226366,3,False
21,0.7,4941,164.7,0.0015721584474254462,0.006695562287943685,0.707364452825038,-0.008841704187731435,-0.13420657043658102,1.5071235374259595,0.3053443103448276,0.17101093338223491,0.49998561915374395,0.9512710213705597,0.3053443103448276,0.0,0.0,0.773387,0.06455081787287922,0.10103412916668608,4,False
22,0.7333333333333333,4942,164.73333333333332,0.0033598967553236316,0.006723065357551934,0.7013588179111423,-0.01718229638119392,-0.13741541857739462,1.4957244687919562,0.29464044827586205,0.1844776845869384,0.5438786873897148,1.0029709778851823,0.29464044827586205,0.0,0.0,0.798381,0.09596806688379998,0.10125079869488339,3,False
23,0.7666666666666667,4943,164.76666666666668,0.004867118029064226,0.006652919289358301,0.6975790454495866,-0.021964335907362083,-0.13258598680946287,1.4797179664410687,0.29567120689655174,0.18863798455539335,0.7056128277811616,1.014488060091389,0.29567120689655174,0.0,0.0,0.817237,0.11917463501990624,0.1122617662026058,2,False
24,0.8,4944,164.8,0.005902481948888743,0.006577367579080834,0.6957374363516918,-0.022004023616932284,-0.11994743637195263,1.460262826703692,0.3009822068965517,0.19587626490463134,0.7920211575339458,0.9801743060663735,0.3009822068965517,0.0,0.0,0.828843,0.13297764839196372,0.134770329362384,3,False
25,0.8333333333333334,4945,164.83333333333334,0.006484104498925709,0.006604651379495709,0.6955154956719249,-0.02106482977836566,-0.09903532723084195,1.4398516996607362,0.30334131034482753,0.2053926546612835,0.759720767437262,0.9840404975120499,0.30334131034482753,0.0,0.0,0.834527,0.13946883675203184,0.15064148337581446,3,False
26,0.8666666666666667,4946,164.86666666666667,0.006614271135831265,0.006132742466013604,0.6981350810705709,-0.019113400398085133,-0.0788132180673798,1.4184522660756822,0.2988733448275862,0.21605561324948633,0.6831750136417226,1.0797137147045035,0.2988733448275862,0.0,0.0,0.834859,0.13792420748950784,0.15452658112173365,4,False
27,0.9,4947,164.9,0.006075412796441839,0.005466843797273846,0.7036939787709091,-0.018412245092342464,-0.05431524555048015,1.398174059854682,0.29232131034482767,0.22331296586566643,0.7688546058055971,1.1380505128847145,0.29232131034482767,0.0,0.0,0.829936,0.12812547443170855,0.15093278525227413,4,False
28,0.9333333333333333,4948,164.93333333333334,0.004956743527211292,0.0044580061792853145,0.7114792888921022,-0.019511441973161597,-0.028506137408550868,1.3794317093367656,0.2839122068965518,0.22603326859258882,0.9111942803781243,1.1647759408866458,0.2839122068965518,0.0,0.0,0.819612,0.11042021677648997,0.15114946229671813,2,False
29,0.9666666666666667,4949,164.96666666666667,0.0033658769378381425,0.003040491482450519,0.7189962675775863,-0.025406121319202724,-0.005894734237707171,1.3597780715872303,0.28103193103448276,0.20551753166520997,0.9049100177650128,1.1965727845751595,0.28103193103448276,0.0,0.0,0.802917,0.08575750560043055,0.16317552696426796,3,False
30,1.0,4950,165.0,0.0020334355331204767,0.00110218623139356,0.7244325318361002,-0.027041256205410636,0.012639863812366283,1.340684823412554,0.29771162068965523,0.17911716611924217,0.8043205032850881,0.967878692746334,0.29771162068965523,0.0,0.0,0.780298,0.05725239411394112,0.1682299415741793,4,False
31,1.0333333333333334,4951,165.03333333333333,0.0012467494577642038,-0.001553622114597104,0.7297448649309326,-0.016955595188345725,0.029107162144742044,1.3227993734662187,0.30958520689655167,0.1583350892263351,0.6643046530891222,0.7816607901737446,0.30958520689655167,0.0,0.0,0.755707,0.027359573375092944,0.17646077912110653,4,False
32,1.0666666666666667,4952,165.06666666666666,0.00044207535837823415,-0.003736188841923835,0.7343350633957324,-0.005594284080488449,0.04209897681175483,1.3080240889539667,0.30889782758620693,0.15081004662072825,0.48985990259975704,0.7755358930734668,0.30889782758620693,0.0,0.0,0.731155,0.0039415809863870025,0.20082723595416055,4,False
33,1.1,4953,165.1,-1.3257001787041556e-05,-0.00543102220728675,0.7371205237402184,0.008935207947020374,0.0496670636822847,1.298347951363632,0.30726231034482765,0.14853222818754946,0.605558287452659,0.7857159195202266,0.30726231034482765,0.0,0.0,0.708225,0.02884765250839885,0.21527519557735444,3,False
34,1.1333333333333333,4954,165.13333333333333,-0.000193128474247246,-0.006755859687608568,0.7372189173749015,0.026322220275120004,0.053059014470548845,1.2933279184676827,0.30633386206896546,0.14279284767144257,0.6845029193739984,0.7715602949533801,0.30633386206896546,0.0,0.0,0.682933,0.05490677636233013,0.224584589637297,2,False
35,1.1666666666666667,4955,165.16666666666666,3.010191537779791e-07,-0.007773430811341211,0.7340054638880503,0.046290773996681675,0.05219486300296973,1.2920701553301142,0.31099168965517243,0.14151585613893872,0.57581270292759,0.8586338962281075,0.31099168965517243,0.0,0.0,0.667374,0.06815959326967812,0.2350822469979696,1,False
36,1.2,4956,165.2,0.000597436996553574,-0.008493380988978944,0.7274460434167206,0.06962466185562699,0.04910002352843164,1.292013728011326,0.3132308275862068,0.15361235284172264,0.48189681885402114,0.9566613746939094,0.3132308275862068,0.0,0.0,0.659509,0.07035389900019756,0.24889331290109665,2,False
37,1.2333333333333334,4957,165.23333333333332,0.001378230225143261,-0.00898490987994567,0.718088379531962,0.09522148346520316,0.04620014776073628,1.2928622375641488,0.31281424137931035,0.15938750172162114,0.4811388240396519,1.1315937720064035,0.31281424137931035,0.0,0.0,0.657619,0.06365873815081409,0.25521167842665393,2,False
38,1.2666666666666666,4958,165.26666666666668,0.002124943414332245,-0.009822840990520408,0.7075230193439536,0.1204540008960469,0.039836112903133505,1.2938530728800797,0.31245079310344837,0.1589204799089335,0.44066282175515714,1.1239201718440994,0.31245079310344837,0.0,0.0,0.662329,0.04890049285485875,0.2561903609517091,2,False
39,1.3,4959,165.3,0.002859825189637494,-0.010903450818714848,0.6967773534890236,0.14544368709860292,0.03187277875790154,1.2959759025559316,0.31880548275862075,0.14848003018224926,0.5535114845794696,1.0349467350358363,0.31880548275862075,0.0,0.0,0.673768,0.027886318240975688,0.2482489142716235,4,False
40,1.3333333333333333,4960,165.33333333333334,0.0033460169613083643,-0.011950031094664307,0.6872588799585707,0.1681179187272954,0.018083103763497085,1.3004523343080852,0.3307127241379311,0.1638423228282131,0.6247731803872807,1.1074732133904575,0.3307127241379311,0.0,0.0,0.68878,0.01218426158082074,0.23033414091944363,4,False
