kind	name	passed_or_exists	detail
file	run_id.txt	True	60
file	error.txt	True	232
file	config.json	True	694
file	checkpoint.txt	True	98
file	last_log.txt	True	3632
file	gpu_status.csv	True	9057
file	failure_reason.md	True	347
file	resolution_plan.md	True	384
file	status.json	True	229
check	all_required_failed_run_files_exist	True	
check	status_failed_not_success	True	
check	run_id_recorded	True	
check	error_recorded	True	
check	config_recorded	True	
check	checkpoint_absence_recorded	True	
check	last_log_records_errno28	True	
check	gpu_status_recorded	True	
check	failure_reason_recorded	True	
check	resolution_plan_recorded	True	
