frame,source_frame,time_s,source_time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,4920,0.0,164.0,0.0,0.0,0.752812,0.3220315172413793,1.3498210344827584
1,4921,0.03333333333333333,164.03333333333333,0.007398999999999933,0.0514079999999999,0.779861,0.30312093103448273,1.1897006896551725
2,4922,0.06666666666666667,164.06666666666666,0.014774000000000065,0.10134199999999982,0.799348,0.2980260689655172,1.1759281034482758
3,4923,0.1,164.1,0.022352999999999845,0.1496869999999999,0.812417,0.31143806896551723,0.9970562068965516
4,4924,0.13333333333333333,164.13333333333333,0.02941299999999991,0.1977629999999999,0.819053,0.32006834482758617,0.9684362068965517
5,4925,0.16666666666666666,164.16666666666666,0.03584799999999966,0.24597599999999997,0.820598,0.3234023448275862,0.9735977586206895
6,4926,0.2,164.2,0.04185599999999967,0.2943499999999999,0.817038,0.32226272413793094,0.9705149999999999
7,4927,0.23333333333333334,164.23333333333332,0.04803299999999977,0.34277199999999985,0.808137,0.3162064482758621,0.9316541379310345
8,4928,0.26666666666666666,164.26666666666668,0.05454599999999976,0.39229499999999984,0.793235,0.30474734482758625,1.0024551724137931
9,4929,0.3,164.3,0.06027199999999988,0.44263399999999997,0.775068,0.30580217241379315,1.064981896551724
10,4930,0.3333333333333333,164.33333333333334,0.06497899999999968,0.4956499999999999,0.75876,0.28982020689655175,1.0255355172413796
11,4931,0.36666666666666664,164.36666666666667,0.07002799999999976,0.550403,0.745067,0.2760027931034483,0.8612824137931036
12,4932,0.4,164.4,0.07412799999999997,0.6068619999999998,0.738853,0.27142103448275867,0.7481901724137929
13,4933,0.43333333333333335,164.43333333333334,0.07762899999999995,0.663519,0.7318,0.2721806206896551,1.018917931034483
14,4934,0.4666666666666667,164.46666666666667,0.08007399999999976,0.7195689999999999,0.721726,0.26950124137931036,1.216344827586207
15,4935,0.5,164.5,0.08195599999999992,0.7742959999999999,0.705518,0.27315972413793105,1.2353741379310343
16,4936,0.5333333333333333,164.53333333333333,0.08309699999999998,0.8259409999999998,0.700178,0.28787627586206893,1.266723620689655
17,4937,0.5666666666666667,164.56666666666666,0.08343999999999996,0.8756889999999999,0.700863,0.3022880344827587,1.2912341379310346
18,4938,0.6,164.6,0.08346699999999974,0.923554,0.708153,0.3115366206896552,1.2392849999999997
19,4939,0.6333333333333333,164.63333333333333,0.08280299999999974,0.9700489999999999,0.723384,0.31786275862068963,1.199701551724138
